strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-26 00:00:00,2025-03-26 10:30:00,2025-03-26 10:31:00,1,SHORT,22,21177.5,21177.5,21159.93,21186.79,21159.68,773.14,27.28,22.0,723.86,TARGET,1.89,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-27 00:00:00,2025-03-27 10:30:00,2025-03-27 10:31:00,1,SHORT,19,20728.25,20728.25,20739.11,20738.86,20707.79,-412.57,23.56,19.0,-455.13,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-28 00:00:00,2025-03-28 10:30:00,2025-03-28 10:31:00,1,SHORT,20,20639.5,20639.5,20620.02,20649.74,20619.77,779.29,24.8,20.0,734.49,TARGET,1.9,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-03-31 00:00:00,2025-03-31 10:30:00,2025-03-31 10:31:00,1,SHORT,19,19868.25,19868.25,19847.86,19878.95,19847.61,774.93,23.56,19.0,732.37,TARGET,1.91,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-04-03 00:00:00,2025-04-03 10:30:00,2025-04-03 10:31:00,1,SHORT,12,19731.25,19731.25,19700.7,19747.03,19700.45,733.29,14.88,12.0,706.41,TARGET,1.94,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-04-09 00:00:00,2025-04-09 10:30:00,2025-04-09 10:32:00,2,LONG,7,18133.75,18133.75,18187.09,18106.58,18187.34,746.75,8.68,7.0,731.07,TARGET,1.96,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-04-10 00:00:00,2025-04-10 10:30:00,2025-04-10 10:31:00,1,SHORT,9,19411.75,19411.75,19368.7,19433.78,19368.45,774.96,11.16,9.0,754.8,TARGET,1.95,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-04-11 00:00:00,2025-04-11 10:30:00,2025-04-11 10:31:00,1,LONG,7,19240.75,19240.75,19212.92,19213.17,19295.16,-389.63,8.68,7.0,-405.31,STOP,-1.01,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-04-14 00:00:00,2025-04-14 10:30:00,2025-04-14 10:31:00,1,SHORT,11,19770.25,19770.25,19788.33,19788.08,19735.34,-397.77,13.64,11.0,-422.41,STOP,-1.01,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-04-15 00:00:00,2025-04-15 10:30:00,2025-04-15 10:31:00,1,LONG,10,19749.25,19749.25,19728.88,19729.12,19788.75,-407.5,12.4,10.0,-429.9,STOP,-1.01,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-04-25 00:00:00,2025-04-25 10:30:00,2025-04-25 10:31:00,1,LONG,12,20047.0,20047.0,20030.12,20030.38,20079.5,-405.0,14.88,12.0,-431.88,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-04-28 00:00:00,2025-04-28 10:30:00,2025-04-28 10:31:00,1,LONG,17,20263.0,20263.0,20251.13,20251.38,20285.48,-403.45,21.08,17.0,-441.53,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-04-29 00:00:00,2025-04-29 10:30:00,2025-04-29 10:31:00,1,SHORT,17,20204.5,20204.5,20216.66,20216.41,20181.43,-413.46,21.08,17.0,-451.54,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-02 00:00:00,2025-05-02 10:30:00,2025-05-02 10:31:00,1,LONG,22,20834.5,20834.5,20851.95,20825.28,20852.2,767.64,27.28,22.0,718.36,TARGET,1.89,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-05-06 00:00:00,2025-05-06 10:30:00,2025-05-06 10:31:00,1,SHORT,22,20540.25,20540.25,20549.53,20549.28,20522.95,-408.18,27.28,22.0,-457.46,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-05-08 00:00:00,2025-05-08 10:30:00,2025-05-08 10:31:00,1,SHORT,19,20832.25,20832.25,20812.04,20842.86,20811.79,768.14,23.56,19.0,725.58,TARGET,1.91,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-09 00:00:00,2025-05-09 10:30:00,2025-05-09 10:31:00,1,LONG,20,20941.0,20941.0,20930.54,20930.79,20960.68,-418.57,24.8,20.0,-463.37,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-14 00:00:00,2025-05-14 10:30:00,2025-05-14 10:31:00,1,LONG,23,22064.5,22064.5,22055.62,22055.87,22081.02,-408.66,28.52,23.0,-460.18,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-19 00:00:00,2025-05-19 10:30:00,2025-05-19 10:31:00,1,LONG,25,22126.75,22126.75,22118.39,22118.64,22142.21,-417.86,31.0,25.0,-473.86,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-05-20 00:00:00,2025-05-20 10:30:00,2025-05-20 10:31:00,1,SHORT,25,22135.75,22135.75,22120.61,22143.82,22120.36,757.14,31.0,25.0,701.14,TARGET,1.88,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-05-21 00:00:00,2025-05-21 10:30:00,2025-05-21 10:31:00,1,SHORT,27,22077.5,22077.5,22085.22,22084.97,22063.3,-417.05,33.48,27.0,-477.53,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-22 00:00:00,2025-05-22 10:30:00,2025-05-22 10:31:00,1,LONG,19,21935.5,21935.5,21955.75,21924.88,21956.0,769.5,23.56,19.0,726.94,TARGET,1.91,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-26 00:00:00,2025-05-26 10:30:00,2025-05-26 10:31:00,1,LONG,30,21995.0,21995.0,21991.42,21991.67,22000.91,-214.82,37.2,30.0,-282.02,STOP,-1.08,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-05-28 00:00:00,2025-05-28 10:30:00,2025-05-28 10:31:00,1,LONG,28,22197.25,22197.25,22189.66,22189.91,22211.18,-425.0,34.72,28.0,-487.72,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-02 00:00:00,2025-06-02 10:30:00,2025-06-02 10:31:00,1,LONG,20,22057.25,22057.25,22076.43,22047.16,22076.68,767.14,24.8,20.0,722.34,TARGET,1.9,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-04 00:00:00,2025-06-04 10:30:00,2025-06-04 10:31:00,1,LONG,24,22457.5,22457.5,22448.79,22449.04,22473.66,-417.86,29.76,24.0,-471.62,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-09 00:00:00,2025-06-09 10:30:00,2025-06-09 10:31:00,1,LONG,30,22508.75,22508.75,22517.79,22503.73,22518.04,542.14,37.2,30.0,474.94,TARGET,1.8,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-11 00:00:00,2025-06-11 10:30:00,2025-06-11 10:31:00,1,LONG,30,22674.5,22674.5,22683.29,22669.61,22683.54,527.14,37.2,30.0,459.94,TARGET,1.8,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-12 00:00:00,2025-06-12 10:30:00,2025-06-12 10:31:00,1,LONG,30,22572.0,22572.0,22582.7,22566.15,22582.95,641.79,37.2,30.0,574.59,TARGET,1.83,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-16 00:00:00,2025-06-16 10:30:00,2025-06-16 10:31:00,1,LONG,30,22563.5,22563.5,22572.88,22558.31,22573.12,562.5,37.2,30.0,495.3,TARGET,1.81,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-24 00:00:00,2025-06-24 10:30:00,2025-06-24 10:31:00,1,LONG,30,22765.75,22765.75,22776.86,22759.7,22777.11,666.43,37.2,30.0,599.23,TARGET,1.83,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-26 00:00:00,2025-06-26 10:30:00,2025-06-26 10:31:00,1,LONG,30,22998.25,22998.25,23006.75,22993.5,23007.0,510.0,37.2,30.0,442.8,TARGET,1.79,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-06-30 00:00:00,2025-06-30 10:30:00,2025-06-30 10:31:00,1,LONG,30,23319.75,23319.75,23330.64,23313.8,23330.89,653.57,37.2,30.0,586.37,TARGET,1.83,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-07-01 00:00:00,2025-07-01 10:30:00,2025-07-01 10:31:00,1,SHORT,26,23312.0,23312.0,23297.38,23319.81,23297.12,760.5,32.24,26.0,702.26,TARGET,1.87,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-07-07 00:00:00,2025-07-07 10:30:00,2025-07-07 10:31:00,1,LONG,30,23439.75,23439.75,23433.7,23433.95,23450.61,-363.21,37.2,30.0,-430.41,STOP,-1.04,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-07-08 00:00:00,2025-07-08 10:30:00,2025-07-08 10:31:00,1,SHORT,30,23411.5,23411.5,23399.98,23417.76,23399.73,691.07,37.2,30.0,623.87,TARGET,1.84,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-07-14 00:00:00,2025-07-14 10:30:00,2025-07-14 10:31:00,1,LONG,30,23392.75,23392.75,23403.84,23386.71,23404.09,665.36,37.2,30.0,598.16,TARGET,1.83,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-07-17 00:00:00,2025-07-17 10:30:00,2025-07-17 10:33:00,3,LONG,30,23646.0,23646.0,23656.82,23640.09,23657.07,649.29,37.2,30.0,582.09,TARGET,1.83,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-07-25 00:00:00,2025-07-25 10:30:00,2025-07-25 10:31:00,1,SHORT,30,23894.25,23894.25,23898.73,23898.48,23886.54,-268.93,37.2,30.0,-336.13,STOP,-1.06,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-07-28 00:00:00,2025-07-28 10:30:00,2025-07-28 10:31:00,1,LONG,30,23970.25,23970.25,23981.57,23964.09,23981.82,679.29,37.2,30.0,612.09,TARGET,1.84,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-07-29 00:00:00,2025-07-29 10:30:00,2025-07-29 10:31:00,1,LONG,30,24092.75,24092.75,24086.7,24086.95,24103.61,-363.21,37.2,30.0,-430.41,STOP,-1.04,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-08-06 00:00:00,2025-08-06 10:30:00,2025-08-06 10:31:00,1,LONG,21,23721.25,23721.25,23711.62,23711.88,23739.25,-404.25,26.04,21.0,-451.29,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-08-07 00:00:00,2025-08-07 10:30:00,2025-08-07 10:31:00,1,LONG,19,24069.0,24069.0,24057.99,24058.24,24089.77,-418.34,23.56,19.0,-460.9,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-08-11 00:00:00,2025-08-11 10:30:00,2025-08-11 10:31:00,1,LONG,30,24218.25,24218.25,24227.93,24212.91,24228.18,580.71,37.2,30.0,513.51,TARGET,1.81,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-08-13 00:00:00,2025-08-13 10:30:00,2025-08-13 10:31:00,1,LONG,30,24510.75,24510.75,24503.74,24503.99,24523.52,-420.54,37.2,30.0,-487.74,STOP,-1.04,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-08-14 00:00:00,2025-08-14 10:30:00,2025-08-14 10:31:00,1,SHORT,30,24410.75,24410.75,24417.53,24417.28,24398.45,-406.61,37.2,30.0,-473.81,STOP,-1.04,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-08-15 00:00:00,2025-08-15 10:30:00,2025-08-15 10:31:00,1,SHORT,28,24335.0,24335.0,24342.46,24342.21,24321.34,-417.5,34.72,28.0,-480.22,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-08-18 00:00:00,2025-08-18 10:30:00,2025-08-18 10:31:00,1,SHORT,30,24288.75,24288.75,24276.04,24295.61,24275.79,762.86,37.2,30.0,695.66,TARGET,1.85,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-08-19 00:00:00,2025-08-19 10:30:00,2025-08-19 10:31:00,1,SHORT,24,24212.75,24212.75,24197.14,24221.05,24196.89,749.14,29.76,24.0,695.38,TARGET,1.88,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-08-21 00:00:00,2025-08-21 10:30:00,2025-08-21 10:31:00,1,SHORT,25,23761.0,23761.0,23769.3,23769.05,23745.64,-415.18,31.0,25.0,-471.18,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-08-22 00:00:00,2025-08-22 10:30:00,2025-08-22 10:31:00,1,LONG,11,23750.75,23750.75,23786.2,23732.53,23786.45,779.82,13.64,11.0,755.18,TARGET,1.95,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-08-25 00:00:00,2025-08-25 10:30:00,2025-08-25 10:31:00,1,SHORT,27,24000.75,24000.75,24008.62,24008.38,23986.25,-425.25,33.48,27.0,-485.73,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-08-28 00:00:00,2025-08-28 10:30:00,2025-08-28 10:31:00,1,LONG,21,24156.25,24156.25,24146.26,24146.51,24174.98,-419.63,26.04,21.0,-466.67,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-09-02 00:00:00,2025-09-02 10:30:00,2025-09-02 10:31:00,1,SHORT,16,23761.5,23761.5,23738.14,23773.68,23737.89,747.43,19.84,16.0,711.59,TARGET,1.92,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-09-03 00:00:00,2025-09-03 10:30:00,2025-09-03 10:31:00,1,LONG,24,23925.5,23925.5,23941.04,23917.23,23941.29,745.71,29.76,24.0,691.95,TARGET,1.88,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-09-05 00:00:00,2025-09-05 10:30:00,2025-09-05 10:31:00,1,LONG,13,24282.25,24282.25,24266.93,24267.18,24311.64,-398.36,16.12,13.0,-427.48,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-09-09 00:00:00,2025-09-09 10:30:00,2025-09-09 10:31:00,1,SHORT,30,24324.25,24324.25,24311.61,24331.07,24311.36,758.57,37.2,30.0,691.37,TARGET,1.85,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-09-10 00:00:00,2025-09-10 10:30:00,2025-09-10 10:31:00,1,LONG,30,24413.0,24413.0,24425.48,24406.26,24425.73,748.93,37.2,30.0,681.73,TARGET,1.85,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-09-11 00:00:00,2025-09-11 10:30:00,2025-09-11 10:31:00,1,LONG,29,24436.5,24436.5,24449.48,24429.51,24449.73,752.96,35.96,29.0,688.0,TARGET,1.86,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-09-12 00:00:00,2025-09-12 10:30:00,2025-09-12 10:31:00,1,LONG,30,24540.25,24540.25,24549.25,24535.25,24549.5,540.0,37.2,30.0,472.8,TARGET,1.8,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-09-22 00:00:00,2025-09-22 10:30:00,2025-09-22 10:31:00,1,LONG,30,25132.75,25132.75,25140.11,25128.57,25140.36,441.43,37.2,30.0,374.23,TARGET,1.76,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-09-30 00:00:00,2025-09-30 10:30:00,2025-09-30 10:31:00,1,SHORT,25,25036.75,25036.75,25045.05,25044.8,25021.39,-415.18,31.0,25.0,-471.18,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-10-03 00:00:00,2025-10-03 10:30:00,2025-10-03 10:31:00,1,SHORT,25,25412.25,25412.25,25396.77,25420.49,25396.52,774.11,31.0,25.0,718.11,TARGET,1.88,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-10-09 00:00:00,2025-10-09 10:30:00,2025-10-09 10:31:00,1,SHORT,30,25563.25,25563.25,25551.32,25569.71,25551.07,715.71,37.2,30.0,648.51,TARGET,1.85,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-10-10 00:00:00,2025-10-10 10:30:00,2025-10-10 10:31:00,1,LONG,28,25611.0,25611.0,25603.53,25603.78,25624.7,-418.5,34.72,28.0,-481.22,STOP,-1.03,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-10-13 00:00:00,2025-10-13 10:30:00,2025-10-13 10:31:00,1,LONG,14,25112.25,25112.25,25098.15,25098.4,25139.2,-394.75,17.36,14.0,-426.11,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-10-14 00:00:00,2025-10-14 10:30:00,2025-10-14 10:31:00,1,SHORT,18,24842.5,24842.5,24853.66,24853.41,24821.43,-401.79,22.32,18.0,-442.11,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-10-15 00:00:00,2025-10-15 10:30:00,2025-10-15 10:31:00,1,LONG,28,25191.5,25191.5,25205.12,25184.19,25205.38,763.0,34.72,28.0,700.28,TARGET,1.86,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-10-16 00:00:00,2025-10-16 10:30:00,2025-10-16 10:31:00,1,LONG,16,25313.75,25313.75,25337.75,25301.25,25338.0,768.0,19.84,16.0,732.16,TARGET,1.92,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-10-21 00:00:00,2025-10-21 10:30:00,2025-10-21 10:31:00,1,SHORT,23,25509.25,25509.25,25492.77,25517.99,25492.52,758.18,28.52,23.0,706.66,TARGET,1.89,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-10-22 00:00:00,2025-10-22 10:30:00,2025-10-22 10:31:00,1,SHORT,21,25470.75,25470.75,25452.5,25480.38,25452.25,766.5,26.04,21.0,719.46,TARGET,1.9,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-10-23 00:00:00,2025-10-23 10:30:00,2025-10-23 10:31:00,1,LONG,18,25384.75,25384.75,25405.38,25373.94,25405.62,742.5,22.32,18.0,702.18,TARGET,1.91,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-10-27 00:00:00,2025-10-27 10:30:00,2025-10-27 10:31:00,1,LONG,26,26073.25,26073.25,26087.93,26065.41,26088.18,763.29,32.24,26.0,705.05,TARGET,1.87,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-10-30 00:00:00,2025-10-30 10:30:00,2025-10-30 10:31:00,1,SHORT,13,26305.5,26305.5,26277.18,26320.16,26276.93,736.36,16.12,13.0,707.24,TARGET,1.93,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-11-03 00:00:00,2025-11-03 10:30:00,2025-11-03 10:31:00,1,LONG,19,26412.75,26412.75,26401.85,26402.1,26433.3,-414.27,23.56,19.0,-456.83,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-11-05 00:00:00,2025-11-05 10:30:00,2025-11-05 10:31:00,1,LONG,17,25776.75,25776.75,25799.32,25764.96,25799.57,767.43,21.08,17.0,729.35,TARGET,1.92,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-11-06 00:00:00,2025-11-06 10:30:00,2025-11-06 10:31:00,1,SHORT,15,25744.25,25744.25,25757.97,25757.72,25718.05,-411.7,18.6,15.0,-445.3,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-11-14 00:00:00,2025-11-14 10:30:00,2025-11-14 10:31:00,1,SHORT,10,25156.5,25156.5,25176.46,25176.21,25117.82,-399.29,12.4,10.0,-421.69,STOP,-1.01,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-11-18 00:00:00,2025-11-18 10:30:00,2025-11-18 10:31:00,1,SHORT,8,24860.0,24860.0,24815.2,24882.9,24814.95,716.86,9.92,8.0,698.94,TARGET,1.96,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-11-20 00:00:00,2025-11-20 10:30:00,2025-11-20 10:31:00,1,LONG,14,25452.75,25452.75,25480.04,25438.61,25480.29,764.0,17.36,14.0,732.64,TARGET,1.93,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-11-24 00:00:00,2025-11-24 10:30:00,2025-11-24 10:31:00,1,LONG,13,24853.0,24853.0,24882.34,24837.83,24882.59,762.82,16.12,13.0,733.7,TARGET,1.93,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-11-25 00:00:00,2025-11-25 10:30:00,2025-11-25 10:31:00,1,SHORT,10,25078.25,25078.25,25041.45,25097.15,25041.2,736.07,12.4,10.0,713.67,TARGET,1.95,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-11-26 00:00:00,2025-11-26 10:30:00,2025-11-26 10:35:00,5,LONG,15,25453.25,25453.25,25479.39,25439.68,25479.64,784.29,18.6,15.0,750.69,TARGET,1.93,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-11-28 00:00:00,2025-11-28 10:30:00,2025-11-28 10:31:00,1,LONG,30,25624.75,25624.75,25619.0,25619.25,25635.0,-345.0,37.2,30.0,-412.2,STOP,-1.05,0
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-12-01 00:00:00,2025-12-01 10:30:00,2025-12-01 10:31:00,1,LONG,19,25599.5,25599.5,25588.91,25589.16,25619.43,-402.39,23.56,19.0,-444.95,STOP,-1.02,0
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-12-04 00:00:00,2025-12-04 10:30:00,2025-12-04 10:34:00,4,SHORT,17,25859.5,25859.5,25837.5,25871.0,25837.25,748.0,21.08,17.0,709.92,TARGET,1.91,1
OR Acceptance,OR_ACCEPTANCE_LONG,neutral,moderate,2025-12-05 00:00:00,2025-12-05 10:30:00,2025-12-05 10:31:00,1,LONG,30,26012.5,26012.5,26024.25,26006.12,26024.5,705.0,37.2,30.0,637.8,TARGET,1.84,1
OR Acceptance,OR_ACCEPTANCE_SHORT,neutral,moderate,2025-12-09 00:00:00,2025-12-09 10:30:00,2025-12-09 10:31:00,1,SHORT,30,25906.25,25906.25,25912.78,25912.53,25894.45,-391.61,37.2,30.0,-458.81,STOP,-1.04,0
