strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-04-14 00:00:00,2025-04-14 10:30:00,2025-04-14 12:12:00,102,SHORT,1,19833.0,19833.0,19493.4,20003.3,19493.15,679.2,1.24,1.0,676.96,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-04-25 00:00:00,2025-04-25 10:30:00,2025-04-25 15:30:00,300,LONG,1,20043.0,20043.0,20196.25,20043.0,20278.15,306.5,1.24,1.0,304.26,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-05-05 00:00:00,2025-05-05 10:30:00,2025-05-05 14:05:00,215,LONG,3,20742.75,20742.75,20865.47,20742.75,20865.72,736.35,3.72,3.0,729.63,TARGET,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-05-08 00:00:00,2025-05-08 10:30:00,2025-05-08 10:55:00,25,SHORT,3,20840.75,20840.75,20724.35,20899.45,20724.1,698.4,3.72,3.0,691.68,TARGET,1.98,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-05-22 00:00:00,2025-05-22 10:30:00,2025-05-22 15:30:00,300,LONG,2,21879.5,21879.5,22032.75,21879.5,22046.43,613.0,2.48,2.0,608.52,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-05-30 00:00:00,2025-05-30 10:30:00,2025-05-30 12:29:00,119,SHORT,2,22048.25,22048.25,21901.02,22122.36,21900.78,588.9,2.48,2.0,584.42,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-06-17 00:00:00,2025-06-17 10:30:00,2025-06-17 13:00:00,150,LONG,3,22571.25,22571.25,22529.75,22507.4,22698.2,-249.0,3.72,3.0,-255.72,VWAP_BREACH_PM,-0.65,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-07-10 00:00:00,2025-07-10 10:30:00,2025-07-10 13:11:00,161,SHORT,2,23537.75,23537.75,23500.0,23606.12,23401.75,151.0,2.48,2.0,146.52,VWAP_BREACH_PM,0.55,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-07-15 00:00:00,2025-07-15 10:30:00,2025-07-15 13:55:00,205,SHORT,2,23648.75,23648.75,23651.25,23648.75,23483.57,-10.0,2.48,2.0,-14.48,VWAP_BREACH_PM,0.0,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-07-16 00:00:00,2025-07-16 10:30:00,2025-07-16 11:37:00,67,SHORT,2,23520.75,23520.75,23356.65,23603.3,23356.4,656.4,2.48,2.0,651.92,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-07-22 00:00:00,2025-07-22 10:30:00,2025-07-22 13:29:00,179,SHORT,2,23788.25,23788.25,23741.5,23788.25,23606.9,187.0,2.48,2.0,182.52,VWAP_BREACH_PM,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-07-24 00:00:00,2025-07-24 10:30:00,2025-07-24 15:30:00,300,LONG,4,23864.25,23864.25,23909.5,23864.25,23955.52,362.0,4.96,4.0,353.04,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-08-05 00:00:00,2025-08-05 10:30:00,2025-08-05 10:31:00,1,LONG,3,23840.25,23840.25,23783.19,23783.44,23953.12,-342.38,3.72,3.0,-349.1,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-08-20 00:00:00,2025-08-20 10:30:00,2025-08-20 10:31:00,1,SHORT,2,23874.25,23874.25,23685.95,23968.9,23685.7,753.2,2.48,2.0,748.72,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-08-22 00:00:00,2025-08-22 10:30:00,2025-08-22 10:31:00,1,SHORT,1,23753.75,23753.75,23857.01,23856.76,23548.48,-206.53,1.24,1.0,-208.77,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-09-02 00:00:00,2025-09-02 10:30:00,2025-09-02 13:00:00,150,LONG,1,23689.0,23689.0,23620.0,23483.92,24098.4,-138.0,1.24,1.0,-140.24,VWAP_BREACH_PM,-0.34,0
