date,direction,ib_range,entry,exit,pnl,exit_reason,WL
2025-11-13 00:00:00,LONG,221.8,25559.00,25502.99,-461.06,STOP,L
2025-11-17 00:00:00,LONG,299.0,25263.50,25360.50,381.52,TARGET,W
2025-11-17 00:00:00,LONG,299.0,25236.75,25166.15,-433.32,STOP,L
2025-11-17 00:00:00,LONG,299.0,25246.50,25166.15,-491.82,STOP,L
2025-11-18 00:00:00,LONG,402.0,24751.00,24887.00,537.52,TARGET,W
2025-11-18 00:00:00,LONG,402.0,24725.00,24887.00,641.52,TARGET,W
2025-11-19 00:00:00,LONG,415.5,24885.25,24766.17,-482.78,STOP,L
2025-11-19 00:00:00,LONG,415.5,24876.75,24766.17,-448.78,STOP,L
2025-11-19 00:00:00,LONG,415.5,24887.75,25036.25,587.52,TARGET,W
2025-11-19 00:00:00,LONG,415.5,24897.75,25036.25,273.76,TARGET,W
2025-11-20 00:00:00,LONG,153.8,25427.50,25378.94,-501.82,STOP,L
2025-11-21 00:00:00,LONG,270.8,24302.75,24242.64,-493.86,STOP,L
2025-12-04 00:00:00,LONG,192.5,25785.50,25872.75,1027.56,TARGET,W
2025-12-05 00:00:00,LONG,194.5,25964.25,25981.50,93.78,EOD,W
2025-12-05 00:00:00,LONG,194.5,25941.50,25981.50,460.56,EOD,W
2025-12-05 00:00:00,LONG,194.5,25961.50,25981.50,147.04,EOD,W
2025-12-05 00:00:00,LONG,194.5,25944.00,25981.50,358.80,EOD,W
2025-12-08 00:00:00,LONG,203.8,25936.00,25882.44,-441.46,STOP,L
2025-12-08 00:00:00,LONG,203.8,25914.25,25882.44,-534.92,STOP,L
2025-12-10 00:00:00,LONG,105.2,25836.25,25875.62,604.08,TARGET,W
2025-12-12 00:00:00,LONG,295.2,25599.75,25535.96,-392.44,STOP,L
2025-12-15 00:00:00,LONG,364.5,25360.00,25485.25,494.52,TARGET,W
2025-12-15 00:00:00,LONG,364.5,25344.00,25369.25,94.52,EOD,W
2025-12-15 00:00:00,LONG,364.5,25364.50,25369.25,12.52,EOD,W
2025-12-16 00:00:00,LONG,230.2,25217.00,25293.38,448.53,TARGET,W
2025-12-16 00:00:00,LONG,230.2,25201.00,25293.38,726.04,TARGET,W
2025-12-16 00:00:00,LONG,230.2,25200.75,25293.38,728.04,TARGET,W
2025-12-18 00:00:00,LONG,176.5,25192.00,25249.00,443.04,TARGET,W
2025-12-22 00:00:00,LONG,122.5,25680.00,25653.38,-508.41,STOP,L
2025-12-29 00:00:00,LONG,157.2,25676.75,25739.88,738.06,TARGET,W
2025-12-29 00:00:00,LONG,157.2,25683.50,25739.88,547.55,TARGET,W
2025-12-29 00:00:00,LONG,157.2,25685.00,25739.88,532.55,TARGET,W
2025-12-29 00:00:00,LONG,157.2,25671.50,25739.88,934.57,TARGET,W
2025-12-29 00:00:00,LONG,157.2,25684.50,25739.88,537.55,TARGET,W
2025-12-30 00:00:00,LONG,100.5,25691.75,25724.00,428.82,TARGET,W
2025-12-31 00:00:00,LONG,124.0,25580.75,25548.90,-535.52,STOP,L
2025-12-31 00:00:00,LONG,124.0,25569.25,25629.50,1407.12,TARGET,W
2025-12-31 00:00:00,LONG,124.0,25586.25,25629.50,499.56,TARGET,W
2025-12-31 00:00:00,LONG,124.0,25577.00,25629.50,915.84,TARGET,W
2025-12-31 00:00:00,LONG,124.0,25590.00,25629.50,227.28,TARGET,W
2026-01-08 00:00:00,LONG,234.0,25600.00,25685.50,503.28,TARGET,W
2026-01-13 00:00:00,LONG,230.8,25843.25,25926.88,492.03,TARGET,W
2026-01-13 00:00:00,LONG,230.8,25843.25,25926.88,492.03,TARGET,W
2026-01-14 00:00:00,LONG,259.8,25558.75,25491.04,-416.00,STOP,L
2026-01-14 00:00:00,LONG,259.8,25531.50,25491.04,-504.99,STOP,L
2026-01-14 00:00:00,LONG,259.8,25567.00,25491.04,-465.50,STOP,L
2026-01-15 00:00:00,LONG,111.2,25851.50,25824.31,-518.54,STOP,L
2026-01-16 00:00:00,LONG,223.8,25669.00,25633.19,-524.06,STOP,L
2026-01-21 00:00:00,LONG,259.2,25157.75,25256.62,583.53,TARGET,W
2026-01-21 00:00:00,LONG,259.2,25162.00,25256.62,558.03,TARGET,W
2026-01-28 00:00:00,LONG,96.0,26217.00,26190.10,-513.36,STOP,L
2026-01-30 00:00:00,LONG,133.8,25809.25,25785.69,-554.01,STOP,L
2026-02-04 00:00:00,LONG,282.0,25153.50,25065.20,-359.68,STOP,L
2026-02-04 00:00:00,LONG,282.0,25128.00,25065.20,-515.36,STOP,L
2026-02-05 00:00:00,LONG,410.8,24611.00,24754.88,569.02,TARGET,W
2026-02-05 00:00:00,LONG,410.8,24601.50,24754.88,607.02,TARGET,W
2026-02-05 00:00:00,LONG,410.8,24583.25,24754.88,680.02,TARGET,W
2026-02-11 00:00:00,LONG,407.0,25101.00,25261.25,634.52,TARGET,W
2026-02-12 00:00:00,LONG,222.8,25184.25,25135.84,-500.32,STOP,L
2026-02-17 00:00:00,LONG,353.5,24504.00,24638.50,531.52,TARGET,W
2026-02-19 00:00:00,LONG,193.5,24797.25,24823.75,149.28,EOD,W
2026-02-19 00:00:00,LONG,193.5,24768.75,24823.75,747.32,EOD,W
